stationNr xPos yPos 
1 190 40 
2 487 20 
3 675 25 
4 790 15
5 1253 30
6 1396 29
7 1541 36




















































60 335 384
61 437 400
62 493 381
63 627 451
64 708 436
65 793 416
66 848 403
67 934 390
68 1046 365
69 1146 359
70 1272 381
71 1383 380
72 1499 389
73 85 403
74 141 468
75 217 446
76 316 441
77 382 491
78 460 481
79 518 468
80 653 496
81 463 514
82 803 486
83 915 470
84 987 434
85 1051 412
86 1163 454
87 1279 482
88 1331 496
89 1374 458
90 1456 458
91 1569 458
92 44 520
93 51 568
94 151 547
95 197 539
96 432 574
97 483 555
98 549 533
99 613 542
100 725 574
101 840 530
102 978 473
103 1069 463
104 1163 509
105 1421 529
106 1520 548
107 1491 548
108 1393 642
109 509 654
110 584 579
111 632 638
112 662 617
113 771 617
114 852 592
115 972 553
116 1165 623
117 1294 670
118 1166 699
119 1558 727
