stationNr xPos yPos 
1 190 40 
2 487 20 
3 675 25 
4 790 15
5 1253 30
6 1396 29
7 1541 36
8 133 107
9 250 115
10 583 107
11 670 123
12 740 107
13 875 100
14 1008 77
15 1150 63
16 1282 111
17 1530 155
18 65 163
19 173 176
20 314 145
21 452 202
22 675 225
23 784 165
24 955 170
25 1029 191
26 1140 108
27 1160 175
28 1211 148
29 1400 187
30 1580 176
31 110 215
32 264 254
33 390 235
34 590 256
35 712 288
36 760 294
37 838 223
38 994 234
39 1065 218
40 1188 268
41 1240 250
42 1536 251
43 37 277
44 198 310
45 307 332
46 409 299
47 489 282
48 617 338
49 797 341
50 875 288
51 1030 300
52 1111 278
53 1202 330
54 1262 313
55 1402 310
56 1586 326
57 87 339
58 243 358
59 275 395
60 335 384
61 437 400
62 493 381
63 627 451
64 708 436
65 793 416
66 848 403
67 934 390
68 1046 365
69 1146 359
70 1272 381
71 1383 380
72 1499 389
73 85 403
74 141 468
75 217 446
76 316 441
77 382 491
78 460 481
79 518 468
80 653 496
81 463 514
82 803 486
83 915 470
84 987 434
85 1051 412
86 1163 454
87 1279 482
88 1331 496
89 1374 458
90 1456 458
91 1569 458
92 44 520
93 51 568
94 151 547
95 197 539
96 432 574
97 483 555
98 549 533
99 613 542
100 725 574
101 840 530
102 978 473
103 1069 463
104 1163 509
105 1421 529
106 1520 548
107 1491 548
108 1393 642
109 509 654
110 584 579
111 632 638
112 662 617
113 771 617
114 852 592
115 972 553
116 1165 623
117 1294 670
118 1166 699
119 1558 727
120 42 773
121 96 774
122 177 770
123 374 765
124 492 742
125 695 670
126 910 936
127 1055 671
128 1243 894
129 1283 714
130 668 747
131 724 707
132 851 699
133 995 766
134 1097 731
135 1334 754
136 1522 829
137 309 834
138 528 787
139 657 739
140 849 779
141 1033 791
142 1165 814
143 1284 801
144 55 912
145 115 907
146 194 902
147 252 886
148 331 874
149 399 866
150 478 841
151 515 879
152 569 837
153 600 838
154 733 853
155 779 909
156 873 909
157 949 917
158 1077 865
159 1083 141
160 1339 913
161 1445 901
162 1593 899
163 183 944
164 264 944
165 417 972
166 576 934
167 700 960
168 746 990
169 873 974
170 937 983
171 1416 1160
172 1200 976
173 1367 1027
174 1507 990
175 1584 1043
176 33 1028
177 101 1009
178 218 999
179 358 1016
180 446 1032
181 533 1010
182 580 1023
183 666 983
184 807 1041
185 911 1108
186 1013 1088
187 1162 1053
188 1307 1057
189 101 1123
190 176 1162
191 267 1086
192 289 1186
193 509 1093
194 534 1128
195 600 1125
196 700 1068
197 713 1134
198 1973 1191
199 1322 1186
